TYPE, CODE, NAME, START, CAPACITY, STUDENTS,
class, 06/2019-04-5+1324554321, 001, 07:00,,27,
class, 06/2019-04-5+1324554321, 002, 08:00,,13,
class, 06/2019-04-5+1324554321, 003, 18:00,,14,
class, 06/2019-04-5+1324554321, 004, 19:00,,9,
class, 06/2019-04-5+1324554321, 005, 20:00,,13,
class, 06/2019-04-5+1324554321, 006, 21:00,,16,
class, 06/2019-04-5+1324554321, 007, 22:00,,11,

campus, 01, Main,,,350,
course, 06/2019-01-2, Test Pyramid, 01/06/2019,60,,
teacher, 1234567890, L. Joseph,,,,,
class, 06/2019-01-2+1234567890, 001, 07:00,,12,
class, 06/2019-01-2+1234567890, 002, 08:00,13,
class, 06/2019-01-2+1234567890, 003, 18:00,,7,
class, 06/2019-01-2+1234567890, 004, 19:00,,15,
class, 06/2019-01-2+1234567890, 005, 20:00,,8,
class, 06/2019-01-2+1234567890, 006, 21:00,,12,
class, 06/2019-01-2+1234567890, 007, 22:00,,16,

campus, 04, Riverlands,,,350,
course, 09/2019-04-4, Event-Driven Microservices, 09/09/2019,60,,
teacher, 1324546321, P. George,,,,,
class, 09/2019-04-4+1324546321, 001, 07:00,,27,
class, 09/2019-04-4+1324546321, 002, 08:00,,13,
class, 09/2019-04-4+1324546321, 003, 18:00,,51,
class, 09/2019-04-4+1324546321, 004, 19:00,,48,
class, 09/2019-04-4+1324546321, 005, 20:00,,39,
class, 09/2019-04-4+1324546321, 006, 21:00,,32,
class, 09/2019-04-4+1324546321, 007, 22:00,,10,

campus, 01, Main,,,350,
course, 09/2019-01-1, Introduce to Cloud Computing, 01/09/2019,60,,
teacher, 1324554321, T. Camp,,,,,
class, 09/2019-01-1+1324554321, 001, 07:00,,27,
class, 09/2019-01-1+1324554321, 002, 08:00,,13,
class, 09/2019-01-1+1324554321, 003, 18:00,,14,
class, 09/2019-01-1+1324554321, 004, 19:00,,39,
class, 09/2019-01-1+1324554321, 005, 20:00,,53,
class, 09/2019-01-1+1324554321, 006, 21:00,,46,
class, 09/2019-01-1+1324554321, 007, 22:00,,31,

campus, 01, Main,,,350,
course, 09/2019-01-2, Test Pyramid, 01/09/2019,60,,
teacher, 1234567890, L. Joseph,,,,,
class, 09/2019-01-2+1234567890, 001, 07:00,,27,
class, 09/2019-01-2+1234567890, 002, 08:00,,13,
class, 09/2019-01-2+1234567890, 003, 18:00,,47,
class, 09/2019-01-2+1234567890, 004, 19:00,,45,
class, 09/2019-01-2+1234567890, 005, 20:00,,28,
class, 09/2019-01-2+1234567890, 006, 21:00,,39,
class, 09/2019-01-2+1234567890, 007, 22:00,,16,

campus, 01, Main,,,350,
course, 09/2019-01-3, Why adopt Code Review?, 01/09/2019,60,,
teacher, 1324554321, T. Camp,,,,,
class, 09/2019-01-3+1324554321, 001, 20:00,,25,
class, 09/2019-01-3+1324554321, 002, 21:00,,36,
class, 09/2019-01-3+1324554321, 003, 22:00,,13,

campus, 05, Dorne,,,150,
course, 09/2019-05-5, Quantum Computing, 01/09/2019,60,,
teacher, 1321234321, H. Stizer,,,,,
class, 09/2019-05-5+1321234321, 001, 20:00,,25,
class, 09/2019-05-5+1321234321, 002, 21:00,,36,
class, 09/2019-05-5+1321234321, 003, 22:00,,13,

campus, 06, Stormlands,,,250,
course, 01/2020-06-6, NodeJS, 01/01/2020,60,,
teacher, 1324554321, T. Camp,,,,,
class, 01/2020-06-6+1324554321, 001, 07:00,,27,
class, 01/2020-06-6+1324554321, 002, 08:00,,13,
class, 01/2020-06-6+1324554321, 003, 18:00,,36,
class, 01/2020-06-6+1324554321, 004, 19:00,,22,
class, 01/2020-06-6+1324554321, 005, 20:00,,29,
class, 01/2020-06-6+1324554321, 006, 21:00,,30,
class, 01/2020-06-6+1324554321, 007, 22:00,,20,

campus, 01, Main,,,350,
course, 01/2020-01-1, All you need to know about Microservices, 01/01/2020,60,,
teacher, 0987654321, A. Jeremiah,,,,,
class, 01/2020-01-1+0987654321, 001, 07:00,,27,
class, 01/2020-01-1+0987654321, 002, 08:00,,13,
class, 01/2020-01-1+0987654321, 003, 18:00,,14,
class, 01/2020-01-1+0987654321, 004, 21:00,,34,
class, 01/2020-01-1+0987654321, 005, 20:00,,45,
class, 01/2020-01-1+0987654321, 006, 19:00,,34,
class, 01/2020-01-1+0987654321, 007, 18:00,,40,

campus, 06, Stormlands,,,250,
course, 01/2020-06-7, Why adopt Code Review?, 01/01/2020,60,,
teacher, 1324554321, T. Camp,,,,,
class, 01/2020-06-7+1324554321, 001, 20:00,,31,
class, 01/2020-06-7+1324554321, 002, 21:00,,28,
class, 01/2020-06-7+1324554321, 003, 22:00,,16,

campus, 01, Main,,,350,
course, 01/2020-01-2, Agile Method, 01/01/2020, 60,,,
teacher, 1234567890, L. Joseph,,,,,
class, 01/2020-01-2+1234567890, 001, 19:00,,55,
class, 01/2020-01-2+1234567890, 002, 20:00,,42,
class, 01/2020-01-2+1234567890, 003, 21:00,,24,

campus, 06, Stormlands,,,250,
course, 01/2020-06-8, Memory Management, 01/01/2020,60,,
teacher, 9876512340, M. John,,,,,
class, 01/2020-06-8+9876512340, 001, 07:00,,27,
class, 01/2020-06-8+9876512340, 002, 08:00,,13,
class, 01/2020-06-8+9876512340, 003, 18:00,,44,
class, 01/2020-06-8+9876512340, 004, 19:00,,26,
class, 01/2020-06-8+9876512340, 005, 20:00,,53,
class, 01/2020-06-8+9876512340, 006, 21:00,,49,
class, 01/2020-06-8+9876512340, 007, 22:00,,31,

campus, 05, Dorne,,,150,
course, 03/2020-05-5, Why adopt Code Review?, 01/03/2020,60,,
teacher, 1324554321, T. Camp,,,,,
class, 03/2020-05-5+1324554321, 001, 20:00,,55,
class, 03/2020-05-5+1324554321, 002, 21:00,,46,
class, 03/2020-05-5+1324554321, 003, 22:00,,23,

campus, 06, Stormlands,,,250,
course, 03/2020-06-1, Reliability Engineering, 01/03/2020,60,,
teacher, 1324546321, P. George,,,,,
class, 03/2020-06-1+1324546321, 001, 07:00,,27,
class, 03/2020-06-1+1324546321, 002, 08:00,,13,
class, 03/2020-06-1+1324546321, 003, 18:00,,55,
class, 03/2020-06-1+1324546321, 004, 19:00,,48,
class, 03/2020-06-1+1324546321, 005, 20:00,,69,
class, 03/2020-06-1+1324546321, 006, 21:00,,32,
class, 03/2020-06-1+1324546321, 007, 22:00,,26,

campus, 06, Stormlands,,,250,
course, 03/2020-06-2, Scrum/Kanban, 01/03/2020, 60,,,
teacher, 1324554321, T. Camp,,,,,
class, 03/2020-06-2+1324554321, 001, 07:00,,27,
class, 03/2020-06-2+1324554321, 002, 08:00,,13,
class, 03/2020-06-2+1324554321, 003, 18:00,,53,
class, 03/2020-06-2+1324554321, 004, 19:00,,42,
class, 03/2020-06-2+1324554321, 005, 20:00,,62,
class, 03/2020-06-2+1324554321, 006, 21:00,,42,
class, 03/2020-06-2+1324554321, 007, 22:00,,12,

campus, 05, Dorne,,,150,
course, 03/2020-05-3, Why adopt Code Review?, 01/03/2020,60,,
teacher, 1324554321, T. Camp,,,,,
class, 03/2020-05-3+1324554321, 001, 20:00,,55,
class, 03/2020-05-3+1324554321, 002, 21:00,,46,
class, 03/2020-05-3+1324554321, 003, 22:00,,23,

campus, 01, Main,,,350,
course, 03/2020-01-4, Asynchronous Programming, 01/03/2020, 60,,,
teacher, 1234567890, L. Joseph,,,,,
class, 03/2020-01-4+1234567890, 001, 19:00,,25,
class, 03/2020-01-4+1234567890, 002, 20:00,,42,
class, 03/2020-01-4+1234567890, 003, 21:00,,17,

campus, 03, Oldtown,,,255,
course, 03/2020-03-5, Engenering of High disponibility, 01/03/2020, 60,,,
teacher, 0987654421, H. Maria,,,,,
class, 03/2020-03-5+0987654421, 001, 20:00,,36,
class, 03/2020-03-5+0987654421, 002, 18:00,,28,
class, 03/2020-03-5+0987654421, 003, 22:00,,41,
class, 03/2020-03-5+0987654421, 004, 21:00,,25,

campus, 01, Main,,,350,
course, 03/2020-01-6, Hands-On TensorFlow, 01/03/2020,60,,
teacher, 9870512340, K. Greg,,,,,
class, 03/2020-01-6+9870512340, 001, 07:00,,27,
class, 03/2020-01-6+9870512340, 002, 08:00,,13,
class, 03/2020-01-6+9870512340, 003, 18:00,,18,
class, 03/2020-01-6+9870512340, 004, 21:00,,22,
class, 03/2020-01-6+9870512340, 005, 20:00,,15,
class, 03/2020-01-6+9870512340, 006, 19:00,,11,
class, 03/2020-01-6+9870512340, 007, 18:00,,13,

campus, 04, Riverlands,,,350,
course, 03/2020-04-7, Reliability Engineering, 01/03/2020,60,,
teacher, 1324546321, P. George,,,,,
class, 03/2020-04-7+1324546321, 001, 07:00,,27,
class, 03/2020-04-7+1324546321, 002, 08:00,,13,
class, 03/2020-04-7+1324546321, 003, 18:00,,55,
class, 03/2020-04-7+1324546321, 004, 19:00,,48,
class, 03/2020-04-7+1324546321, 005, 20:00,,69,
class, 03/2020-04-7+1324546321, 006, 21:00,,32,
class, 03/2020-04-7+1324546321, 007, 22:00,,22,

campus, 06, Stormlands,,,250,
course, 03/2020-06-8, Preparation For Certification Exams, 01/03/2020,60,,
teacher, 1324554321, T. Camp,,,,,
class, 03/2020-06-8+1324554321, 001, 07:00,,27,
class, 03/2020-06-8+1324554321, 002, 08:00,,13,
class, 03/2020-06-8+1324554321, 003, 18:00,,29,
class, 03/2020-06-8+1324554321, 004, 21:00,,22,
class, 03/2020-06-8+1324554321, 005, 20:00,,45,
class, 03/2020-06-8+1324554321, 006, 19:00,,31,
class, 03/2020-06-8+1324554321, 007, 18:00,,43,

campus, 06, Stormlands,,,250,
course, 03/2020-06-9, Asynchronous Programming, 01/03/2020, 60,,,
teacher, 1234567890, L. Joseph,,,,,
class, 03/2020-06-9+1234567890, 001, 19:00,,15,
class, 03/2020-06-9+1234567890, 002, 20:00,,22,
class, 03/2020-06-9+1234567890, 003, 21:00,,14,

campus, 05, Dorne,,,150,
course, 06/2020-05-1, Coding in Low Level, 01/06/2020, 60,,,
teacher, 1234567890, L. Joseph,,,,,
class, 06/2020-05-1+1234567890, 004, 19:00,,45,
class, 06/2020-05-1+1234567890, 005, 20:00,,62,

campus, 01, Main,,,350,
course, 06/2020-01-2, AI/Big Data DevOps Engineer, 01/06/2020,60,,
teacher, 1324554321, T. Camp,,,,,
class, 06/2020-01-2+1324554321, 001, 07:00,,27,
class, 06/2020-01-2+1324554321, 002, 08:00,,13,
class, 06/2020-01-2+1324554321, 003, 18:00,,31,
class, 06/2020-01-2+1324554321, 004, 19:00,,51,
class, 06/2020-01-2+1324554321, 005, 20:00,,51,
class, 06/2020-01-2+1324554321, 006, 22:00,,48,

campus, 01, Main,,,350,
course, 06/2020-01-4, Docker Intensive,01/01/2020, 60,,,
teacher, 0987654421, H. Maria,,,,,
class, 06/2020-01-4+0987654421, 001, 07:00,,27,
class, 06/2020-01-4+0987654421, 002, 08:00,,13,
class, 06/2020-01-4+0987654421, 003, 18:00,,18,
class, 06/2020-01-4+0987654421, 004, 19:00,,28,
class, 06/2020-01-4+0987654421, 005, 20:00,,35,
class, 06/2020-01-4+0987654421, 006, 21:00,,12,
class, 06/2020-01-4+0987654421, 007, 22:00,,8,

campus, 06, Stormlands,,,250,
course, 06/2020-06-5, All you need to know about Microservices, 01/06/2020,60,,
teacher, 0987654321, A. Jeremiah,,,,,
class, 06/2020-06-5+0987654321, 001, 07:00,,27,
class, 06/2020-06-5+0987654321, 002, 08:00,,13,
class, 06/2020-06-5+0987654321, 003, 18:00,,14,
class, 06/2020-06-5+0987654321, 004, 20:00,,15,
class, 06/2020-06-5+0987654321, 005, 21:00,,26,
class, 06/2020-06-5+0987654321, 006, 19:00,,16,
class, 06/2020-06-5+0987654321, 007, 18:00,,13,

campus, 06, Stormlands,,,250,
course, 06/2020-06-6, Introduce to Cloud Computing, 01/06/2020,60,,
teacher, 1324554321, T. Camp,,,,,
class, 06/2020-06-6+1324554321, 001, 07:00,,27,
class, 06/2020-06-6+1324554321, 002, 08:00,,13,
class, 06/2020-06-6+1324554321, 003, 18:00,,14,
class, 06/2020-06-6+1324554321, 004, 20:00,,9,
class, 06/2020-06-6+1324554321, 005, 21:00,,13,
class, 06/2020-06-6+1324554321, 006, 19:00,,16,
class, 06/2020-06-6+1324554321, 007, 18:00,,11,

campus, 04, Riverlands,,,350,
course, 06/2020-04-7, Test Pyramid, 01/06/2020,60,,
teacher, 1234567890, L. Joseph,,,,,
class, 06/2020-04-7+1234567890, 001, 07:00,,27
class, 06/2020-04-7+1234567890, 002, 08:00,,10
class, 06/2020-04-7+1234567890, 003, 18:00,,7,
class, 06/2020-04-7+1234567890, 004, 20:00,,15,
class, 06/2020-04-7+1234567890, 005, 21:00,,8,
class, 06/2020-04-7+1234567890, 006, 19:00,,12,
class, 06/2020-04-7+1234567890, 007, 18:00,,6,

campus, 05, Dorne,,,150,
course, 09/2020-05-1, Why adopt Code Review?, 01/09/2020,60,,
teacher, 1324554321, T. Camp,,,,,
class, 09/2020-05-1+1324554321, 001, 20:00,,55,
class, 09/2020-05-1+1324554321, 002, 21:00,,46,
class, 09/2020-05-1+1324554321, 003, 22:00,,23,

campus, 01, Main,,,350,
course, 09/2020-01-2, Preparation For Certification Exams, 01/09/2020,60,,
teacher, 9876512340, N. John,,,,,
class, 09/2020-01-2+9876512340, 001, 07:00,,27,
class, 09/2020-01-2+9876512340, 002, 08:00,,13,
class, 09/2020-01-2+9876512340, 003, 18:00,,18,
class, 09/2020-01-2+9876512340, 004, 21:00,,22,
class, 09/2020-01-2+9876512340, 005, 20:00,,15,
class, 09/2020-01-2+9876512340, 006, 19:00,,11,
class, 09/2020-01-2+9876512340, 007, 18:00,,13,

campus, 06, Stormlands,,,250,
course, 09/2020-06-3, Asynchronous Programming, 01/09/2020, 60,,,
teacher, 1234567890, L. Joseph,,,,,
class, 09/2020-06-3+1234567890, 001, 19:00,,15,
class, 09/2020-06-3+1234567890, 002, 20:00,,22,
class, 09/2020-06-3+1234567890, 003, 21:00,,14,

campus, 06, Stormlands,,,250,
course, 09/2020-06-4, Engenering of High disponibility, 01/09/2020, 60,,,
teacher, 0987654421, H. Maria,,,,,
class, 09/2020-06-4+0987654421, 001, 20:00,,16,
class, 09/2020-06-4+0987654421, 002, 18:00,,8,
class, 09/2020-06-4+0987654421, 003, 22:00,,11,
class, 09/2020-06-4+0987654421, 004, 21:00,,15,
class, 09/2020-06-4+0987654421, 005, 21:00,,5,

campus, 05, Dorne,,,150,
course, 09/2020-05-5, Quantum Computing, 01/09/2020,60,,
teacher, 1321234321, H. Stizer,,,,,
class, 09/2020-05-5+1321234321, 001, 20:00,,15,
class, 09/2020-05-5+1321234321, 002, 21:00,,16,
class, 09/2020-05-5+1321234321, 003, 22:00,,13,

campus, 03, Oldtown,,,255,
course, 01/2021-03-1, Event-Driven Microservices, 01/01/2021,60,,
teacher, 1324546321, P. George,,,,,
class, 01/2021-03-1+1324546321, 001, 07:00,,27,
class, 01/2021-03-1+1324546321, 002, 08:00,,13,
class, 01/2021-03-1+1324546321, 003, 18:00,,51,
class, 01/2021-03-1+1324546321, 004, 19:00,,48,
class, 01/2021-03-1+1324546321, 005, 20:00,,39,
class, 01/2021-03-1+1324546321, 006, 21:00,,32,
class, 01/2021-03-1+1324546321, 007, 22:00,,12,

campus, 01, Main,,,350,
course, 01/2021-01-2, JAVA Spring, 01/01/2021,60,,
teacher, 1324554321, T. Camp,,,,,
class, 01/2021-01-2+1324554321, 001, 07:00,,27,
class, 01/2021-01-2+1324554321, 002, 08:00,,13,
class, 01/2021-01-2+1324554321, 003, 18:00,,51,
class, 01/2021-01-2+1324554321, 004, 19:00,,35,
class, 01/2021-01-2+1324554321, 005, 20:00,,27,
class, 01/2021-01-2+1324554321, 006, 21:00,,21,
class, 01/2021-01-2+1324554321, 007, 22:00,,17,

campus, 06, Stormlands,,,250,
course, 01/2021-06-3, NodeJS, 01/01/2021,60,,
teacher, 1324554321, T. Camp,,,,,
class, 01/2021-06-3+1324554321, 001, 07:00,,27,
class, 01/2021-06-3+1324554321, 002, 08:00,,13,
class, 01/2021-06-3+1324554321, 003, 18:00,,31,
class, 01/2021-06-3+1324554321, 004, 19:00,,51,
class, 01/2021-06-3+1324554321, 005, 20:00,,51,
class, 01/2021-06-3+1324554321, 006, 22:00,,35,

campus, 01, Main,,,350,
course, 01/2021-01-4, ML With Python, 01/01/2021,60,,
teacher, 0987654421, H. Maria,,,,,
class, 01/2021-01-4+0987654421, 001, 21:00,,63,
class, 01/2021-01-4+0987654421, 002, 20:00,,48,

campus, 05, Dorne,,,150,
course, 01/2021-05-5, ASP.NET MVC, 01/01/2021, 60,,,
teacher, 1234567890, L. Joseph,,,,,
class, 01/2021-05-5+1234567890, 001, 19:00,,35,
class, 01/2021-05-5+1234567890, 002, 20:00,,52,
class, 01/2021-05-5+1234567890, 003, 21:00,,64,

campus, 04, Riverlands,,,350,
course, 01/2021-04-6, Oracle PL/SQL, 01/01/2021,80,,
teacher, 0987654421, H. Maria,,,,,
class, 01/2021-04-6+0987654421, 001, 07:00,,27,
class, 01/2021-04-6+0987654421, 002, 08:00,,13,
class, 01/2021-04-6+0987654421, 003, 18:00,,26,
class, 01/2021-04-6+0987654421, 004, 19:00,,78,
class, 01/2021-04-6+0987654421, 005, 20:00,,19,
class, 01/2021-04-6+0987654421, 006, 21:00,,25,
class, 01/2021-04-6+0987654421, 007, 22:00,,5,

